ManagerName,PointsFor,PointsAgainst,Moves,Trades,Wins,Losses,Ties,Championships,Playoffs,Sackos,DraftPosition,Seasons
Ryan,12119.2,11065.52,468.0,15.0,80,40,0,2,7,0,50.0,9
Kevin,13697.699999999999,13403.980000000001,358.0,11.0,78,69,0,1,5,1,78.0,11
Peter,13554.720000000001,13512.12,369.0,6.0,79,68,0,0,7,0,78.0,11
alex,13813.0,13430.960000000001,243.0,3.0,79,68,0,2,7,3,70.0,11
Neil,10348.24,9489.92,88.0,2.0,64,43,0,1,6,0,56.0,8
Jeremy,8433.9,8830.46,163.0,13.0,44,50,0,0,2,1,57.0,7
michael,13544.539999999999,13472.94,87.0,5.0,66,81,0,0,3,2,62.0,11
Alessandro,13823.44,13577.079999999998,356.0,4.0,74,73,0,0,7,1,70.0,11
Peter2,11529.34,12318.540000000003,163.0,0.0,58,75,0,1,4,1,65.0,10
Daniel,11789.279999999999,12558.14,129.0,6.0,53,81,0,1,3,0,67.0,10
Greg,12113.680000000002,12695.98,192.0,5.0,56,77,0,1,5,0,75.0,10
david,13459.220000000001,13539.84,160.0,6.0,76,71,0,0,6,1,58.0,11
johnny,3696.04,3733.38,13.0,0.0,24,16,0,2,2,0,9.0,3
christian,3430.7400000000007,3594.3799999999997,17.0,0.0,14,26,0,0,1,1,17.0,3
Raed,4468.38,4598.18,43.0,2.0,23,30,0,0,0,0,23.0,4
